Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Cote d'Ivoire,CIV,171.6359695,172.5127542,195.6490451,227.4412949,217.9687483,232.7477985,235.8672598,267.2454416,271.6764349,277.6624712,288.6745104,321.7673081,416.5840739,486.7126607,589.4045367,674.0805738,865.6978327,1043.818192,1155.606731,1231.087928,977.1054392,840.3571244,728.5325252,700.1602768,686.9096259,868.6101322,923.0408844,906.2250499,833.1744926,891.0550882,837.3953129,861.1671369,825.8288219,602.4813869,773.708488,829.6138492,779.2911443,828.0759944,794.5994473,645.7656817,642.2152213,688.8559652,812.3976352,902.9864166,940.7521438,983.2914236,1102.882499,1282.267081,1238.708134,1207.84514,1241.561111,1243.986075,
Latin America and the Caribbean (IFC classification),CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East and North Africa (IFC classification),CME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,120.1198714,125.0272859,126.526884,133.7305453,135.969396,139.1730804,148.7210921,163.593492,174.5961743,171.3200388,177.5821328,200.5714071,240.0051702,299.546505,355.6461114,386.5308919,411.1424748,523.3887876,670.0100815,754.6648207,829.9342339,772.4072578,755.5204249,774.7025727,784.9096071,992.4963424,1115.211585,1098.755842,950.76221,923.8812783,1000.32416,890.5573168,1027.557021,680.6305956,626.9557457,679.7773813,668.9962179,637.3908262,675.9501594,583.0948592,589.1651391,648.2987607,790.8953432,892.5257391,914.5531201,964.6015355,1069.856826,1211.304186,1102.520394,1090.619066,1204.698212,1166.91341,
"Congo, Rep.",COG,145.8479468,155.9787896,157.0802164,164.8306189,171.2731734,185.3235338,193.9225203,199.4986938,204.4579259,205.9491868,234.1257637,289.4980973,370.5124346,388.1728351,493.6618817,471.5065663,464.5266437,518.3430017,686.9932673,949.5577014,1077.591705,1133.949876,1068.74287,1085.752382,1039.423729,864.9159833,1045.371936,979.5249718,1029.780383,1174.323843,1113.539533,1167.768341,744.2415125,668.2355461,777.7615975,908.1794991,806.966776,658.3067765,773.1820463,1029.974585,871.6709433,919.6870144,1039.379799,1347.870907,1718.100815,2120.097846,2233.308252,3059.226535,2401.298155,2920.406708,3414.05471,3153.739461,
Colombia,COL,276.1183353,292.5060777,276.541382,332.4838998,311.987391,285.3511258,291.1670233,292.4874383,308.0239016,337.2427887,357.417814,387.0407113,449.9840713,527.4464698,545.8617262,624.7098372,774.6670837,904.3035223,1061.313488,1240.067543,1320.804427,1383.144768,1344.632561,1299.445674,1160.187872,1137.519996,1159.771588,1225.046589,1210.758187,1209.183533,1214.453693,1423.929203,1582.581351,2274.885405,2529.325296,2609.297132,2814.134205,2552.468374,2196.714685,2503.549492,2421.272646,2376.083803,2261.283608,2752.913454,3392.924413,3712.785525,4663.542864,5405.10124,5116.745989,6179.399054,7148.863695,7747.841321,
Comoros,COM,,,,,,,,,,,,,,,,,,,,393.8343404,352.6931534,320.6293528,324.460513,304.2064606,315.3423296,435.7467344,513.1884963,528.3267555,493.4932547,605.7093883,583.5496524,614.3542206,593.8626765,408.5685355,497.7435554,482.6651071,433.1861616,428.962433,432.1715744,382.1603212,406.135429,451.7082245,568.7572089,619.1105121,644.2731325,653.9537251,734.8228633,816.4782254,803.4861078,795.4784368,871.6920171,830.5196682,
Cape Verde,CPV,,,,,,,,,,,,,,,,,,,,471.6549086,458.1256721,453.5130174,436.2047123,406.4438682,416.1398911,568.2311418,693.9949141,772.4762047,772.5059531,1021.065725,1045.876328,1167.597078,1138.024171,1248.563921,1434.687314,1436.531549,1368.570459,1448.730058,1555.34582,1366.918745,1384.483804,1479.592818,1908.977027,2159.232334,2278.164757,2566.454022,3129.818793,3692.002673,3524.330353,3413.263369,3801.449765,3695.424487,
Costa Rica,CRI,354.9134346,334.8370102,345.4389777,353.9724108,374.5748196,396.5118722,416.0359034,447.5309908,480.6270695,540.4900482,576.9295675,647.8881765,781.7384152,832.2911261,955.5511277,1145.901902,1421.073235,1585.745312,1766.806127,2057.312053,1086.538146,1049.636981,1557.1258,1749.686548,1777.440163,1975.566228,2050.858072,2073.542332,2287.888571,2404.851282,2269.51661,2651.439849,2909.842471,3111.035016,3370.239543,3320.588778,3507.081953,3759.881077,4111.832609,4058.044534,4087.118971,4114.566905,4199.694812,4379.391063,4621.364127,5128.400753,5897.527844,6581.307506,6385.542853,7773.185476,8660.830835,9386.304835,
South Asia (IFC classification),CSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,471.4653435,488.02736,510.3621851,539.6376171,571.142144,609.6840822,645.8884872,633.6533549,681.6264373,742.970792,799.558331,914.5092594,994.0119138,1272.526267,1474.375448,1502.159476,1721.720651,1744.967665,1983.771161,2416.943541,2611.863655,2868.130784,2901.5157,2722.458656,2655.818815,2388.742698,2548.392583,2685.646132,2726.042062,2948.571809,2907.997437,2840.68953,2934.760156,3091.730966,3365.358018,3632.713314,4029.041583,4390.695421,4636.403692,5016.103424,5112.388404,5354.328428,5696.304604,6160.092446,6988.554107,7813.56312,8630.64478,9779.150851,8173.063179,8588.746458,9190.21302,9317.667913,
Cuba,CUB,,,,,,,,,,653.2380917,779.5623039,901.3674037,1088.44027,1224.411871,1380.261716,1444.873403,1474.636367,1837.764035,2003.294684,2024.678974,2038.214587,2109.996725,2226.118644,2397.087966,2270.124431,2378.929831,2451.274589,2641.236214,2572.873458,2702.185284,2275.925901,2052.991446,2066.917658,2615.018812,2783.443297,2278.285342,2300.945851,2326.174356,2555.068738,2744.124479,2835.076661,2995.899528,3192.400519,3388.766954,3776.470549,4666.988169,5185.382272,5382.815961,5499.120103,5701.962671,6051.222001,,
